id	project	Faculty	Countries	Website	Start Date	End Date	desc	Topics	Sponsors	Collaborators	Dept & School
174	Knowledge and preferences for treatment of end stage renal disease among elderly patients and their family caregivers	Finkelstein, Eric	Singapore		February 2014	Ongoing	Understanding patient’s preferences regarding treatment for end-stage renal disease (ESRD) is important to guide treatment recommendations and policies. Currently, treatment choices for ESRD are likely to be distorted by a lack of knowledge among patients and their caregivers regarding outcomes and costs that result from a given choice. Therefore, this study proposes to assess patient and caregiver knowledge about outcomes and costs of dialysis and conservative treatment, and to quantify the extent to which select features and outcomes of dialysis influence the decision to choose it over conservative treatment, and the change in uptake that would result from a given change in one of the attribute levels (or better information on that attribute). The study involves focus groups with stated preference conjoint survey with elderly stage 4 and 5 chronic kidney disease patients.	Cancer			
175	Innovative Partnership to Target antimalarial Subsidies in the Retail Sector	Turner, Elizabeth	Kenya	https://globalhealth.duke.edu/projects/innovative-partnership-target-antimalarial-subsidies-retail-sector-0	February 2014	Ongoing	This project will tackle an important implementation research problem. We will evaluate a new approach to improve access to diagnosis for malaria amongst those patients who seek malaria treatment in the informal health sector. This will lead to improved targeting of subsidized antimalarials to those patients who need them and reduce overuse and over-treatment. The approach uses an innovative public-private partnership between community health workers and retail medicine shops. The project will be conducted in collaboration with Kenya's Division of Malaria Control and avenues to roll-out the intervention, if successful, will be actively explored.	Health care access,Health policy and systems,Malaria	NIH-National Institute of Allergy and Infectious Diseases		
176	Innovative partnership to target antimalarial subsidies in the retail sector	Turner, Elizabeth	Kenya	https://globalhealth.duke.edu/projects/innovative-partnership-target-antimalarial-subsidies-retail-sector-0	February 2014	Ongoing	This project will tackle an important implementation research problem. We will evaluate a new approach to improve access to diagnosis for malaria amongst those patients who seek malaria treatment in the informal health sector. This will lead to improved targeting of subsidized antimalarials to those patients who need them and reduce overuse and over-treatment. The approach uses an innovative public-private partnership between community health workers and retail medicine shops. The project will be conducted in collaboration with Kenya's Division of Malaria Control and avenues to roll-out the intervention, if successful, will be actively explored.	Health care access,Health policy and systems,Malaria	NIH-National Institute of Allergy and Infectious Diseases		
177	ASK4Care	LeGrand, Sara	United States		January 2014	Completed	Action. Skills. Knowledge. 4 Care (ASK4Care) is a peer-lead retention in care program that promotes HIV knowledge, communication skills, community building, and health prioritization among people living with HIV who are newly diagnosed, and those who are accessing care but not optimizing it. Combined with community-based HIV testing already in place at each partner site, ASK4Care will usher those who are newly diagnosed with HIV into medical care and supportive peer programs to promote lifelong adherence skills. ASK4Care is an eight module knowledge and skills-building program lead by peers who have themselves overcome personal barriers to accessing care and staying in care. ASK4Care includes six modules that help clients engaged in medical care to become more active in their own health care, two additional modules use text messaging, an effective means to reach people of lower socio-economic status in rural and suburban areas, to promote general health and support individual's health and wellness goals. The ASK4Care partners include: Hertford County Public Health Authority serving a rural 11-county area of North Carolina, Partners In Caring serving a suburban coastal six-county area, and the Lincoln Community Health Center serving the urban Durham county area.Peer-lead modules have been created to promote health literacy and engagement. No data are available yet.If shown effective, ASK4Care will provide a new tool for promoting patient engagement and retention in medical care, particularly for patients of lower socio-economic status and those in rural areas.	Health care access,Non-communicable diseases,Health policy and systems,HIV/AIDS	Kaiser Permanente National Community Benefit Fund at the East Bay Community Foundation	Hertford County Public Health Authority	
178	Policy process implementation and international dissemination of maternal and infant health and child nutrition in China	Story, Mary	United States		January 2014	Ongoing	The objectives of this project are 1. To generate the experience and lessons of China's policy development and implementation in promoting maternal and infant health and child nutrition 2. To explore appropriate dissemination strategies 3. To develop country specific proposals for other low and middle income countries in order to improve maternal and infant health and child nutrition there 4. During the knowledge generation and dissemination process, institutional research and dissemination capacity will be improved and institutional partnerships will be promoted. The second objective above addresses the dissemination of the project results related to WP8. The overall goal for WP8 is to disseminate the results of the project and recommendations widely to key health sector and policy stakeholders in the three countries and more widely and to publish the findings is high impact scientific journals.	Health policy and systems,Maternal, adolescent and child health			
179	Policy Process, Implementation Experience, Historical Lessons and International Dissemination of Maternal and Infant Health and Child Nutrition in China	Story, Mary	United States		January 2014	Ongoing	The objectives of this project are: 1. To generate the experience and lessons of China's policy development and implementation in promoting maternal and infant health and child nutrition; 2. To explore appropriate dissemination strategies; 3. To develop country specific proposals for other low and middle income countries in order to improve maternal and infant health and child nutrition there; 4. During the knowledge generation and dissemination process, institutional research and dissemination capacity will be improved and institutional partnerships will be promoted.	Pediatrics	Robert Wood Johnson Foundation		
180	Policy Process, Implementation Experience, Historical Lessons and International Dissemination of Maternal and Infant Health and Child Nutrition in China	Story, Mary	United States		January 2014	Ongoing	The objectives of this project are:To generate the experience and lessons of China's policy development and implementation in promoting maternal and infant health and child nutrition;To explore appropriate dissemination strategies;To develop country specific proposals for other low and middle income countries in order to improve maternal and infant health and child nutrition there;During the knowledge generation and dissemination process, institutional research and dissemination capacity will be improved and institutional partnerships will be promoted.	Pediatrics	Robert Wood Johnson Foundation		
181	Evaluating the Impact of Mercury Contamination on Human and Environmental Health in Madre de Dios Watershed	Pan, William	Peru		September 2012	Ongoing	The Madre de Dios (MDD) and Beni Rivers together comprise a major tributary to the Amazon River, flowing from the MDD region in Peru, Peru through to Pando, Bolivia. It is home to over 150,000 Indigenous and non-Indigenous people and has one of the largest concentrations of biodiversity in the world with at least four protected parks. Leading causes of morbidity and mortality are respiratory, malaria, and gastrointestinal infections, but other common diseases include dengue, rabies, arenaviruses and hantaviruses, which have been emerging due to increased anthropogenic activities, among which, gold mining, agriculture, and road construction are the most important. In MDD alone, gold mining is incipient due to rising global demand. These artisanal mining operations are devastating to an ecosystem. Mercury is used for the amalgamation of gold, a process in which up to 60% of the mercury used gets released directly into the environment and wastes containing mercury accumulate in the alluvial sediment and biaccumulates as methyl-mercury (MeHg) in fish that are consumed by humans. Of all mercury forms, MeHg is by far the most toxic as it accumulates in the food web. MeHg production in aquatic environments is mediated by anaerobic bacteria, particularly sulfate reducing bacteria. A detailed understanding of the factors affecting mercury bioavailability to sulfate reducing bacteria and the fate and transport of the various mercury species is required to understand the broad impacts of mercury, and has not previously been done in the region. As has been demonstrated in Brazil, rural riverine communities similar to those in the MDD/Beni watersheds, face not only moderate exposure to mercury, but also exposure to other heavy metals from geogenic (naturally occurring in the soil that get released from activities such as deforestation) and anthropogenic sources (e.g., inputs from mining activities) that potentially affect their health, including Arsenic and Selenium. The goals of this study are to obtain preliminary data to: 1. measure and predict the level of mercury exposure among persons living in the MDD watershed; 2. identify the major health issues affecting persons living in the MDD watershed; and 3. better understand the diversification of livelihoods among persons living in the watershed. We hypothesize that the MDD watershed is heavily contaminated with mercury and that people living in the watershed are extremely vulnerable to increasing contamination due to their limited ability to diversify risks.We expect to produce the following outcomes: 1. Evaluation of mercury contamination in areas not involved in mining, but indirectly impacted by mining activities. 2. Development of a sediment transport model that predicts the transportation of potentially contaminated sediment throughout the watershed 3. Identification of major health problems for people living in the Madre de Dios River watershed and evaluate the extent to which mercury and mining activities are related to these health problemsIf our study reveals significant mercury contamination in regions that are not involved in gold mining and our hydrological models demonstrate that contaminants are potentially affecting indigenous and non-indigenous regions across the border to Bolivia, there are major policy implications to our research. We have already reached out to the Ministries of Environment, Health and Production in Peru, the US Embassy, USAID and the Pan American Health Organization in case our study reveals such relationships.	Pediatrics,Cardiovascular disease,Non-communicable diseases,Environmental health,Infectious diseases		DGHI	
182	Doris Duke Charitable Foundation International Clinical Research Fellowship for Medical Students	Clements, Dennis	Kenya,Tanzania	https://globalhealth.duke.edu/education-and-training/medical/doris-duke	September 2012	Ongoing	Duke University trains three medical students per year over four years to become future leaders in global health clinical research. Before conducting research, fellows will complete didactic training on Duke campus and collaborate with their mentors to refine their proposals. Clinical research will be conducted in partnership with the Kilimanjaro Christian Medical Centre in Moshi, Tanzania or the School of Medicine, Moi University in Eldoret, Kenya, under the direction of Project Director, Dr. Dennis Clements, who has over 20 years of experience mentoring medical students in global health research.A Steering Committee comprised of project stakeholders recruits and selects fellows and facilitate mentor-fellow matching. A structured mentorship model will ensure medical students are well-supported through on-site faculty and peer mentors, frequent and consistent meetings, and ongoing monitoring. A midpoint review conducted onsite with all fellows will provide additional training and evaluation of the fellowship.The long-term goal of creating a pathway for future leaders in global health clinical research will be fulfilled through additional training in data analysis and presentation, financial support for professional development, and an alumni network of global health researchers. Global health clinical research is an essential component of training the modern physician and Duke University is committed to providing this training.	Water,Infectious diseases,One Health,Cardiovascular disease,Impacts of race and culture		Doris Duke Charitable Foundation	
183	Physical and Mental Health Support and Outcomes for Children in Residential Care Programs		India	https://globalhealth.duke.edu/student-projects/physical-and-mental-health-support-and-outcomes-children-residential-care-1	September 2012	Ongoing	Duke SRT and MSc students support Udayan's core mission by providing mental health screening for various populations, including Ghar residents, Shalini Fellows, Care-givers and Social workers. The team works with leadership to support research and intervention activities, recommend and develop new program directions, and publish results for use by NGO and policy makers serving the orphan and separated child and caregiver community.	Maternal, adolescent and child health		https://www.udayancare.org	
184	Air Pollution Particle Effects on Human Antimycobacterial Immunity (MexAir)	Zhang, Jim	United States,Mexico	http://projectreporter.nih.gov/project_info_description.cfm?projectnumber=1R01ES020382-01A1	August 2012	August 2012	This study is to examine the effects of PM2.5 on innate and adaptive antimycobacterial (anti-Mycobacterium tuberculosis, M.tb) immune mechanisms in primary bronchoalveolar cells from M.tb-exposed and unexposed human subjects. The goal is to assess the effects of urban air pollution on human antimicrobial immunity against communicable respiratory diseases. Given the wide geographical scales for both air pollution and Mycobacterium tuberculosis infections, new knowledge to be gained from this project will have significant global health implications.	Air pollution,Environmental health,Infectious diseases	NIH-National Institute on Environmental Health Sciences		
185	New media obesity treatment in community health centers (Track)	Steinberg, Dori	United States		August 2012	Ongoing	This study is testing a digital health weight loss intervention for obese patients with cardiometabolic morbidities in the community health center setting.Assuming positive outcomes, the intervention being tested in this trial has the potential to be adopted by the community health center setting.	Cardiovascular disease,Obesity,Nutrition	NIH-National Institute of Diabetes and Digestive and Kidney Diseases		
186	Effects of Social Contest, Culture and Minority Status on Depression and Anxiety	Pan, William	United States,Puerto Rico		July 2012	Ongoing	This study examines how social contexts intersect with cultural factors to affect the onset of depression and anxiety across different life stages and geographic locations. We are extending the Boricua Youth Study, a longitudinal three wave study of Puerto Rican children 5 to 13 years of age at baseline living in two contexts: San Juan Metropolitan area, Puerto Rico (PR), and the South Bronx (SB), NY. We plan to generate better measures of experience within social context and evaluate the effect of these factors on risk for depression and anxiety, providing important information to inform public health intervention development.	Pediatrics,Environmental health,Mental health	NIH,Harvard University	Harvard Univesity	
187	6th Annual Meeting of the Alliance for Surgery and Anesthesia Presence at Duke University	Lagoo-Deenadayalan, Sandhya	United States		July 2012	Completed	Informing the literature on the paucity of surgical and safe anesthesia has been a goal of the Alliance for Surgery and Anesthesia Presence (ASAP) since inception 7 years ago. The group of more than 200 medical students, MPH students, residents, fellows and physicians from many specialties and countries, gathered to discuss topics long-considered by the group metrics, burden, maternal mortality and anesthesia, as well as topics novel to this annual meeting include cancer, neurosurgery and perioperative mortality. The faculty included esteemed members of the Duke Community, and visiting faculty from Harvard University, Johns Hopkins University, University of Washington, Indiana University, Vanderbilt University, and Wake-Forest University.Participants shared their knowledge and tried to prove that the theme of the 6th Annual ASAP meeting - Partnerships in Innovation - was critical if we wished to construct a global platform for surgical and anesthetic care. The breakout groups, now a signature component of the ASAP meeting, also revealed growth in content. Topics included integrating global health into a surgery residency, future directions in global anesthesia, capacity building, obstetric anesthesia, pain management, advocacy, accountability in global health work, and reverse innovations in global health. The group on advocacy discussed the upcoming World Health Assembly and the role of this body in the future role of safe anesthesia and surgery in LMICs. The anesthesiology working group drew record numbers of participants this year, and their discussions included the perioperative mortality rate as a rough measure of patient safety.	Health care access,Cancer,Maternal, adolescent and child health	Duke Global Health Institute	Vanderbilt University	
188	Early Infant Care and Risk of Obesity (Nurture)		United States	http://nurturestudy.org	July 2012	Ongoing	The Nurture study is an observational study that follows a southern cohort of 1000 predominately black and white mothers and their infants in Durham, NC. The goal of the study is to assess weight gain in infants over their first year of life via home visiting. We conduct frequent measurements throughout infancy to help us pinpoint when children begin to gain weight excessively and help identify risk factors such as energy intake, energy expenditure, stress, and sleep that may be associated with obesity in early life. We are measuring stress via salivary cortisol assay, energy intake through maternal questionnaire, and energy expenditure and sleep using an accelerometer. The study began in August 2012 and will continue through June 2017. Visit the Nurture Study Website	Pediatrics,Cardiovascular disease,Obesity,Epidemiology,Nutrition	NIH-National Institute of Diabetes and Digestive and Kidney Diseases		
189	Causes and Interventions for Childhood Obesity: Innovative Systems Analysis	Pan, William	United States		July 2012	Ongoing	Statistical consulting services provided by William Pan. Services include individual meetings with project personnel, conference calls and manuscript review on issues pertaining to statistical analysis, study design and interpretation.	Cardiovascular disease,Obesity			
190	Perinatal Depression Treatment and Child Development		Pakistan		July 2012	Ongoing	Perinatal depression, which affects 20-30% women in low-income countries, is a known risk factor for impaired child development. The purpose of the current project is to examine whether participating in a successful perinatal depression intervention (Thinking Healthy Programme, THP) has lead to improved developmental outcomes in the offspring. The THP was delivered in Pakistan in 2006; in 2012 the children will be 5-6 years old and entering kindergarten, thus allowing for an assessment of a wide range of cognitive, socio-emotional, motor and physical developmental outcomes. The THP was a clustered randomized trial where lay Lady Health Workers (LHWs) were trained to deliver a cognitive behavior therapy (CBT) intervention to mothers with major depression. In the intervention group, the health workers' routine practice of maternal and child health education incorporated CBT techniques (active listening, collaboration with the family, guided discovery of alternative health beliefs and the assigning of homework to apply what had been learned). A total of 463 mothers received the intervention and 440 received enhanced routine care which consisted of an equal number of LHW visits. At 6 months post partum, 77% of mothers in the intervention group recovered from their depressive disorder compared to and 47% in the control group, effects which were sustained at 12 months. Parents in the intervention group reported spending more time everyday on play-related activities. The main approach of the THP follow-up study consists of re-enrolling the original THP study participants and assessing developmental outcomes in the now 5-6 year old children, together with potential mediators and moderators of any association between the intervention and the outcomes of interest. We are locating and interviewing the LHWs who participated in the original study to better understand factors influencing the sustainable implementation of the intervention in the field. We are using a multi-pronged approach to re-enroll study participants. Because the original intervention was community-based, we have detailed information on the residence location of all study participants. Importantly, the Lady Health Worker infrastructure in the study area is a significant strength. The LHWs are village-based and cover about a hundred house-holds in their village. They maintain careful records of each mother and child under their care. Our re-enrollment strategies thus include direct contact based on original study residence with inquiries of family and neighbors if the woman no longer lives there; inquiring with the original cohort and current LHWs about the location of remaining women; and checking local hospital and administrative records to confirm deaths or relocations. With these strategies, we plan to successfully re-enroll 80-90% of original THP study participants. The specific domains that are assessing include child cognitive skills, executive functioning, socio-emotional skills and social functioning, motor skills, school readiness as well as anthropometric and overall health indicators. We also propose to collect detailed data on factors that may shed light on the pathways and moderators that influence the magnitude of impact of the intervention on the child outcomes 5 years later. These include the level of environmental social and cognitive stimulation in the home, mental health of other family members including the mother, socioeconomic status, as well as community factors such as access to education. If the study demonstrates a positive impact of the intervention on the child outcomes, it will provide a major impetus to policy-makers and health-planners to address maternal depression in early child development strategies.	Pediatrics,Epidemiology,Maternal, adolescent and child health,Mental health		Human Development Research Foundation	
191	A randomized controlled trial on rehabilitation through caregiver-delivered nurse-organized service programs for disabled stroke patients in rural China		China	https://dukekunshan.edu.cn/sites/default/files/u587/RECOVER.pdf	January 2014	Ongoing	**Background:** Stroke is the second leading cause of mortality and disability among adults worldwide. Rehabilitation is an effective treatment for stroke; however rehabilitation services are far from adequate in China, especially in rural China. **Aims:** To develop, implement, and evaluate an evidence-based caregiver-delivered stroke rehabilitation program designed to improve the physical functioning of disabled stroke patients in rural China.The total number of patient's recruitment from Zhangwu County Hospital and Qing Tongxia County Hospital is around 190. We launched a new site in Dianjiang County People's Hospital, Chongqing City from November 2015 following the same protocol with funding support from Amsterdam Health and Technology Institute. The patient recruitment (n=60) will start from Jan, 1st 2016 and last for 6 months.This study, if proven effective, will improve the health and functioning of stroke patients, relieve caregiver burden, and build capacity within the care-delivery system.	Health care access,Cardiovascular disease,Non-communicable diseases,Health policy and systems		China Medical University	
192	A randomized controlled trial on rehabilitation through caregiver-deliverednurse-organized service programs for disabled stroke patients in rural China (The RECOVER trial)	Bettger, Janet Prvu	China		December 2013	Ongoing	"Stroke is the second leading cause of mortality and the leading cause of disability among adults worldwide. Rehabilitation is an effective treatment for stroke; however rehabilitation services are nearly non-existent in rural areas, especially in China. Here, we propose to develop, implement, and evaluate an evidence-based caregiver-delivered ""Early Supported Discharge (ESD)"" stroke rehabilitation program designed to improve the physical functioning of disabled stroke patients in rural China. The study will be conducted in four phases: 1. study preparation 2. pilot study 3. study revision 4. main study The pilot study will test the feasibility of the program in one county hospital among 60 patients for 3 months. The main study will test the program in two county hospitals (one in Zhangwu County, Liaoning and one in Qingtongxia County, Ningxia) among 200 patients for one year. Eligible patients (stroke inpatients with residual disability) will be randomized to the intervention group (ESD program) or control group (usual care) within 7 days of hospital admission. Patients in the intervention group will receive stroke care from a family-nominated caregiver, who will be trained in ESD by a specially trained nurse and guided by a rehabilitation manual. In the main study, a nurse will monitor patient progress and care up to 6 times. Baseline assessments of physical functioning (Barthel Index, Functional Ambulation Category), quality of life (EQ-5D), and caregiver burden (Caregiver Burden Index) will be assessed for all patients before discharge, with follow-up assessments at 3 months in the pilot study and 3, 6, and 12 months in the main study. This study, if proven effective, will seek to improve the health and functioning of stroke patients, relieve caregiver burden, build capacity and task-shift within the care-delivery system, and potentially guide future programs and policies that can improve health outcomes and reduce inequities for stroke patients in resource-scarce settings."	Cardiovascular disease,Health policy and systems			
193	Evaluation of Barriers to Surgical Care for Children in Guatemala	Rice, Henry	Guatemala		December 2013	Completed	"The Duke Pediatric Surgery/Urology Guatemala Project, which has been active since 2010, is a collaboration between Duke University, Guatemalan partners, and non-government organizations (NGOs). The goal of the project is to support clinical care, research, and education initiatives for pediatric surgical care in Guatemala, consistent with the principles of the Duke Global Health Institute. Our work is based at the Moore Pediatric Surgical Center in Guatemala City, and is supported by two NGOs, Mending Kids International and The Shalom Foundation. Our activities following several lines: * Service: Provide high-quality care in partnership with local health providers and health systems * Learning: Perform and teach safe surgical practice in collaboration with local providers * Education: Work with local health providers on shared educational opportunities * Development: Build partnerships with local medical school and health systems * Research: Identify specific impact areas for shared research and education collaborations * Team building: Provide Duke employees with an engagement with global health programsOver the past year, we have directed several research projects in surgery, urology, and anesthesia as well as in areas of operating room systems and patient safety. Many of our trainees participated in these research efforts. 1. This year's major area of research focused on the study of barriers to surgical care for children in Guatemala, and was directed by Dr. Ben Silverberg, a DGHI Master's student in Global Health. Dr. Silverberg's project used qualitative anthropologic research methods based on structured interviews and content analysis to identify important themes in regards to barriers to care. His findings included that overwhelming financial challenges for families, a limited understanding of medical options, and poor communication between health care staff and families were most important for these families. We also extended our quantitative assessment of surgical barriers by surveying families for self-reported barriers to surgery. We used a ranking method to measure which barriers were considered most important to families. We found that there was a large delay in seeking surgical care, with a mean duration of symptoms of 2 years before accessing care. Most families lived > 50 km from the clinic. Of the barriers to surgery, costs and quality of care at available hospitals were the most frequently cited, suggesting that targeted interventions towards these barriers may be of value. 2. We performed a number of affiliated projects in anesthesiology overseen by Dr. Brad Taicher, Department of Anesthesia, Duke University. These studies assessed the effectiveness of regional anesthetics in an environment where opioid analgesics are not easily accessible. We performed regional anesthetics on 43 patients (21 caudal epidural blocks, 17 ultrasound-guided ilioinguinal-iliohypogastric blocks, 4 TAP blocks and 1 scalp block). The patients' ages ranged from 5 months to 17 years old. The caudal epidurals had a 95% success rate as assessed by a lack of response to incision and need for supplemental intra-operative analgesia. The ilioinguinal-iliohypogastric, TAP, and scalp blocks had a 100% success rate as assessed by visualization of local anesthetic deposition via ultrasound, and by confirmation from the patients of post-operative loss of temperature sensation in the ipsilateral region. None of these patients required narcotics during their overnight stay, and no complications were identified. Although limited in size, our data suggests that regional anesthetics can be a beneficial adjunct for pediatric surgery in this environment. 3. We assessed the quality and accuracy of patient checklist in this setting by measuring the accuracy of all steps of a Duke ""blue hat"" procedure. This procedure is used in the preoperative holding area to confirm proper patient identification, type and side of procedure, and essential medical information. We were able to identify vulnerable parts of the system in place at the Moore Center and prevent any incorrect procedures. 4. We assessed the differences between subjective and objective pain scoring systems in the PACU to determine whether cultural stoicism can impact administration of pain medicines. We are comparing this data to baseline data at Duke Children's Hospital and the data collection there is still under way. 5. We trained 7 perioperative nurses and technicians with no prior experience in endotracheal intubation with a novel technique to intubate children without understanding the anatomy of the airway (6/7 were successful on their first attempt). We intend to expand use of this technique to help cross-train personnel in resource constrained environments to be able to assist their anesthesia team."	Health care access,Pediatrics,Health policy and systems	Duke University	Moore Pediatric Surgical Center	
194	Excellence in Mentoring Undergraduate Research: DGHI Student Research Training Program vs. Independent Research	Stewart, Kearsley	United States	http://www.centerforengagedlearning.org/mentoringur/	December 2013	Completed					
195	"HIV/AIDS In Africa: Building A Digital Humanities Database For The Duke Undergraduate Course ""Global Narratives Of HIV/AIDS"""	Stewart, Kearsley	United States	http://sites.duke.edu/glhlth302/	December 2013	Completed		HIV/AIDS	Duke University,Duke University,Duke University,Duke University		
196	Toward a Viable Solution for a See-and-Treat Paradigm for Cervical Pre-cancer in East Africa Using an Automated Colposcpectroscope	Ramanujam, Nimmi			December 2013	Completed	Cervical cancer affects the lives of 530,000 women worldwide each year and results in more than 270,000 deaths, with approximately 85% of these deaths occurring in developing countries. The decrease in the incidence of cervical cancer in developed countries has been attributed to regular screening that relies on a multi-visit, cytology-based approach Pap Smear, followed at a later time by colposcopically directed biopsy when indicated, and treatment if necessary. Employing these methods requires dedicated clinic visits for specimen collection, follow up and treatment, as well as a pathology laboratory and skilled staff. Guidelines established by the Alliance for Cervical Cancer Protection (ACCP) on strategies for screening cervical cancer in resource-limited settings, have suggested visual inspection with acetic acid with low power magnification (VIAM) followed by identified cervical lesion treated with Loop Electrosurgical Procedure (LEEP) or cryo-therapy, as the most viable strategies for reducing the mortality associated with cervical cancer in the limited resource settings. In low and middle income countries, this three-tiered approach is not always practical due to the lack of infrastructure and resources and also due to patient attrition at each level of care. Therefore, there is a critical global need for an effective see and treat paradigm in a single visit in low-resource communities. Our solution is to integrate the imaging capabilities of colposcopy with a technique known as optical spectroscopy, which can rapidly measure oxygen saturation, neovascularization and the morphological composition of local tissue sites with a pen like probe. The colpospectroscope will enable surveillance with VIAM followed by spectroscopy (in lieu of biopsy and histology) such that cervical dysplasia can be diagnosed on the spot thereby enabling a see and treat paradigm for women with cervical pre-cancer with cryotherapy and/or LEEP in a single visit.	Health care access,Cancer,Engineering	Duke Global Health Institute		
197	Feasibility Study of a Low-Cost, Portable, Fiberoptic Nasolaryngoscope for Early Screening and Detection of Head and Neck Cancers in Vietnam	Malkin, Robert			December 2013	Ongoing	Head and neck cancers (HNC) are the 6th most common cancer worldwide. These cancers are difficult to diagnose early due to the complex anatomy, lack of equipment, and limited expertise available for examination of the upper aerodigestive tract. These issues result in delayed diagnosis and high morbidity and mortality of advanced staged HNC. One solution to this problem is development of a low-cost, portable, fiberoptic nasolaryngoscope (FNS) that can allow for rapid screening and early detection of HNC. This project aims to test the feasibility of such a FNS in Vietnam. Within this proposal is a mentoring and education component to build the health care capacity of Vietnam. This will be done by training mid-level health care providers (i.e. nurses) to perform the examination. Photo documentation capability in the FNS will allow for consultation and review from otolaryngology specialists at the Vietnamese tertiary referral center as well as Duke University Medical Center. The results from this pilot will enable a larger scale proposal that will allow for distribution of the FNS to areas throughout Vietnam with trained mid-level health care providers trained in its use. Detection of HNC and other pathology can be referred to tertiary care centers, while persons with normal examinations can be clinically followed, thereby resulting in improved utilization of limited resources. The early detection of HNC will result in improved patient outcomes and survival. This work will be the model by which other low and middle income countries can improve detection and diagnosis of HNC.	Cancer,Engineering	Duke Global Health Institute	Duke NUS	
198	Genetic diversity of human influenza viruses from a community cohort versus sentinel and hospital-based surveillance in Singapore		Singapore		September 2013	Ongoing	This projects aims to quantify the genetic diversity of influenza viruses captured in active and passive surveillance, and to delineate the characteristics of influenza viruses that cause different clinical severity across different settings and/or subsets of the study population.	Influenza			
199	A Randomized Controlled Trial to Motivate and Sustain Physical Activity using Financial Incentives (TAKSI)	Finkelstein, Eric	Singapore		September 2013	Ongoing	This is a randomized controlled trial of taxi drivers to test (1) the extent to which different types of financial incentives, when combined with a pedometer-based activity program, motivates and sustains physical activity; and (2) whether mental accounting exists among drivers and if so, the extent to which framing of the incentives as cash or taxi rental credits influences both primary and secondary outcomes.	Health economics			
200	RCT of an Integrated Treatment of Persons with Co-occurring HCV and Alcohol Abuse	Proeschold-Bell, Rae Jean	United States		September 2013	Ongoing	For people infected with hepatitis C virus (HCV), alcohol use increases the risk of hepatocellular carcinoma and progressive liver fibrosis, which can lead to cirrhosis and liver-related mortality. Integrated models of care that incorporate treatment for alcohol use, substance use, and mental health comorbidities have been called for, but few empirically tested models exist. In an R21 study, we developed and manualized an integrated behavioral-medical treatment model for patients with HCV who consume alcohol. We successfully implemented a standardized alcohol screening in a hepatology clinic using the Alcohol Use Disorders Identification Test (AUDIT) instrument; recruited 60 patients; retained participants in group and individual therapy; integrated care between an addictions specialist and medical providers; and achieved an 85% six-month interview response rate. The alcohol abstinence rate improved from 0% at baseline to 44% at 6 months. Mean Addiction Severity Index scores were reduced by 50% for alcohol from .24 to .12, and decreased for drug use from .05 to .03. The percentage of heavy drinkers decreased from 47% to 24% (Proeschold-Bell et al., 2011). We are conducting a randomized controlled trial that compares our six-month integrated treatment versus brief alcohol counseling in 230 HCV-infected patients with qualifying AUDIT alcohol scores at baseline. Participants in both arms will be treated at the Duke and UNC Liver Clinics and the Durham Veterans Affairs Medical Center. Outcome variables will be assessed at baseline, 3, 6, and 12 months. The aims are to: 1, evaluate alcohol abstinence; 2. determine differences in secondary outcomes between study arms; and 3. conduct a cost effectiveness analysis. We hypothesize that the intervention will significantly improve alcohol abstinence rates and significantly decrease relapse rates compared to the comparison. We further hypothesize that intervention participants will report fewer drinks per week and less illicit drug use than comparison participants, have fewer positive drug screens than comparison participants, and meet the $50,000 per quality-adjusted life year gained standard established in the health economics literature.		NIH-National Institute on Alcohol Abuse and Alcoholism		
201	Development of Mental Health Treatment for Obstetric Fistula Patients in Tanzania	Watt, Melissa	Tanzania		September 2013	Ongoing	PI: Melissa Watt Co-investigator: Kathleen J. Sikkema Funder: NICHD, R21, 2013-2015 (Supplementary funding by the Fistula Foundation) Partner: KCMC in Moshi, TanzaniaObstetric fistula is a hole between the bladder and the vagina, which develops when obstructed labor is not relieved by cesarean section and results in uncontrollable leaking of urine and/or feces. The only cure for obstetric fistula is surgical repair, but many women suffer for years without treatment. Multiple studies have documented the social and psychological impact of obstetric fistula, which includes social isolation, stigma, depression, and mental health dysfunction. However, to date no intervention studies have evaluated empirically-supported therapies to assist in psychological healing among fistula patients. The proposed study aims to fill this gap by developing and pilot-testing a theoretically informed mental health intervention for women receiving surgical repair for obstetric fistula at KCMC Hospital in Moshi, Tanzania.The study has three specific aims: 1) To develop the nurse-delivered mental health intervention, built on theories of coping and cognitive behavioral therapy, 2) To assess feasibility and acceptability of implementing the intervention in the KCMC fistula ward, considering: intervention fidelity, patient satisfaction, provider feedback and cost of delivery, 3) To assess effectiveness of the intervention by comparing immediate and short term outcomes in 30 women who receive the experimental intervention with 30 women receiving the standard of care counseling, examining differences in primary outcomes (depression, PTSD and somatic symptoms) and secondary outcomes (coping, perceived stigma, social support, social participation, efficacy to engage with providers, adherence to clinical recommendations and social reintegration).This study is complete. The intervention development process was published in a paper in the journal Evaluation and Program Planning. There, we describe the 6-session individual-level intervention, based on principles of cognitive behavioral therapy and coping theory, that was developed for delivery by a community-health nurse. Intervention outcomes are reported in Pilot and Feasibility Studies. A nurse-delivered mental health intervention was feasible to implement as part of in-patient clinical care and regarded positively. There were sharp and meaningful improvements in mental health outcomes among participants over time, with no evidence of differences by condition.	Health care access,Maternal, adolescent and child health,Mental health	NIH-National Institute of Child Health and Human Development	Kilimanjaro Christian Medical Centre	
